content,qr_type,label
SMSTO:+977-9821232457:The invoice has been received and marked paid.,sms,0
SMSTO:+977-9830804224:Thank you for your payment. No further action is required.,sms,0
SMSTO:+977-9818852650:Your delivery is scheduled for tomorrow afternoon.,sms,0
WIFI:T:WPA;S:CampusGuest105;P:StrongPass1052026;;,wifi,0
"mailto:verify@google-login.example.net?subject=Refund failed: update card now&body=Congratulations, you won a cash prize. Claim reward immediately",email,1
mailto:support@google-login.example.net?subject=Refund failed: update card now&body=KYC expired. Confirm wallet PIN and OTP to continue,email,1
mailto:billing@wikipedia.org?subject=Library book reminder&body=Thank you for your payment. No further action is required.,email,0
SMSTO:+977-9829881959:Your OTP is 123456. Do not share it with anyone.,sms,0
SMSTO:+977-9828555963:The invoice has been received and marked paid.,sms,0
WIFI:T:WPA;S:CampusGuest84;P:StrongPass842026;;,wifi,0
https://github.com/status/1962,url,0
SMSTO:+977-9836664201:Your delivery is scheduled for tomorrow afternoon.,sms,0
https://github.com/receipt/1268,url,0
"BEGIN:VCARD
FN:Student 53
EMAIL:student53@university.edu.np
URL:https://university.edu.np/profile/53
END:VCARD",contact,0
https://docs.djangoproject.com/status/1684,url,0
WIFI:T:WPA;S:CampusGuest71;P:StrongPass712026;;,wifi,0
http://10.8.4.22/claim-prize/2900?session=57241,url,1
mailto:security@192.168.45.12?subject=Your wallet is blocked&body=Security alert. Update password within 24 hours,email,1
http://paypal-security.example.ru/claim-prize/2661?session=51662,url,1
https://hospital.org.np/receipt/1479,url,0
https://city-services.example/course/1387,url,0
https://company-intranet.example/docs/1430,url,0
WIFI:T:WPA;S:CampusGuest104;P:StrongPass1042026;;,wifi,0
mailto:security@np-prize-claim.test?subject=Urgent account verification required&body=Customs fee pending. Pay now to release your parcel,email,1
SMSTO:DELIVERY:KYC expired. Confirm wallet PIN and OTP to continue: http://np-prize-claim.test/verify/5383,sms,1
https://company-intranet.example/receipt/1134,url,0
SMSTO:DELIVERY:KYC expired. Confirm wallet PIN and OTP to continue: http://10.8.4.22/verify/5388,sms,1
SMSTO:+977-9895303152:The invoice has been received and marked paid.,sms,0
mailto:noreply@store-receipts.example?subject=Course update&body=The invoice has been received and marked paid.,email,0
WIFI:T:WPA;S:CampusGuest106;P:StrongPass1062026;;,wifi,0
"BEGIN:VCARD
FN:Student 78
EMAIL:student78@university.edu.np
URL:https://university.edu.np/profile/78
END:VCARD",contact,0
SMSTO:+977-9800000000:Security alert. Update password within 24 hours: http://paypal-security.example.ru/verify/5118,sms,1
mailto:support@coursera.org?subject=Password changed successfully&body=Your appointment is confirmed for Friday at 10:00 AM.,email,0
mailto:admin@mozilla.org?subject=Password changed successfully&body=Your OTP is 123456. Do not share it with anyone.,email,0
SMSTO:+977-9864033353:The invoice has been received and marked paid.,sms,0
https://library.example/docs/1733,url,0
SMSTO:BANKALERT:URGENT: your bank account is blocked. Verify login now: http://192.168.45.12/verify/5801,sms,1
mailto:billing@github.com?subject=Course update&body=Your delivery is scheduled for tomorrow afternoon.,email,0
mailto:billing@wikipedia.org?subject=Project status summary&body=Your delivery is scheduled for tomorrow afternoon.,email,0
"mailto:security@192.168.45.12?subject=Your wallet is blocked&body=Congratulations, you won a cash prize. Claim reward immediately",email,1
mailto:support@secure-login-check.test?subject=Final warning: confirm your password&body=URGENT: your bank account is blocked. Verify login now,email,1
mailto:noreply@nepalbank.com.np?subject=Library book reminder&body=Thank you for your payment. No further action is required.,email,0
SMSTO:WALLET:Security alert. Update password within 24 hours: http://google-login.example.net/verify/5585,sms,1
WIFI:T:WPA;S:CampusGuest81;P:StrongPass812026;;,wifi,0
SMSTO:+977-9845943456:The invoice has been received and marked paid.,sms,0
SMSTO:+977-9833485502:Your appointment is confirmed for Friday at 10:00 AM.,sms,0
WIFI:T:WPA;S:CampusGuest102;P:StrongPass1022026;;,wifi,0
SMSTO:+977-9860922531:Your appointment is confirmed for Friday at 10:00 AM.,sms,0
mailto:support@docs.djangoproject.com?subject=Appointment reminder&body=Class starts tomorrow. Please bring your notebook.,email,0
SMSTO:WALLET:Customs fee pending. Pay now to release your parcel: http://delivery-fee-pay.test/verify/5343,sms,1
mailto:noreply@nrb.org.np?subject=Appointment reminder&body=The invoice has been received and marked paid.,email,0
http://account-verify-now.test/pay-fee/2663?session=64516,url,1
http://192.168.45.12/login-update/2199?session=54642,url,1
mailto:billing@khanacademy.org?subject=Password changed successfully&body=The invoice has been received and marked paid.,email,0
mailto:billing@github.com?subject=Password changed successfully&body=Thank you for your payment. No further action is required.,email,0
http://google-login.example.net/pay-fee/2725?session=73373,url,1
WIFI:T:WPA;S:CampusGuest10;P:StrongPass102026;;,wifi,0
SMSTO:+977-9888083792:Your delivery is scheduled for tomorrow afternoon.,sms,0
https://library.example/course/1620,url,0
http://account-verify-now.test/verify-account/2507?session=58819,url,1
WIFI:T:WPA;S:CampusGuest7;P:StrongPass72026;;,wifi,0
SMSTO:WALLET:Security alert. Update password within 24 hours: http://account-verify-now.test/verify/5537,sms,1
https://paypal-security.example.ru/claim-prize/2179?session=12246,url,1
SMSTO:+977-9838633439:Thank you for your payment. No further action is required.,sms,0
mailto:support@mozilla.org?subject=Meeting notes&body=Your delivery is scheduled for tomorrow afternoon.,email,0
"SMSTO:BANKALERT:Congratulations, you won a cash prize. Claim reward immediately: http://192.168.45.12/verify/5919",sms,1
http://10.8.4.22/verify-account/2452?session=48654,url,1
https://store-receipts.example/notice/1166,url,0
https://mozilla.org/profile/1834,url,0
SMSTO:+977-9849305644:Thank you for your payment. No further action is required.,sms,0
https://openai.com/receipt/1517,url,0
mailto:security@account-verify-now.test?subject=Urgent account verification required&body=Refund failed. Enter card details to receive money,email,1
"BEGIN:VCARD
FN:Student 74
EMAIL:student74@university.edu.np
URL:https://university.edu.np/profile/74
END:VCARD",contact,0
mailto:verify@paypal-security.example.ru?subject=Prize claim pending&body=Security alert. Update password within 24 hours,email,1
mailto:verify@bank-support-update.test?subject=Prize claim pending&body=Refund failed. Enter card details to receive money,email,1
mailto:reward@khalti-refund.test?subject=Urgent account verification required&body=URGENT: your bank account is blocked. Verify login now,email,1
https://khalti-refund.test/login-update/2835?session=11276,url,1
mailto:admin@ird.gov.np?subject=Receipt for your recent purchase&body=The invoice has been received and marked paid.,email,0
SMSTO:+977-9888537126:Your appointment is confirmed for Friday at 10:00 AM.,sms,0
mailto:verify@192.168.45.12?subject=Final warning: confirm your password&body=URGENT: your bank account is blocked. Verify login now,email,1
https://192.168.45.12/pay-fee/2236?session=81256,url,1
SMSTO:+977-9800000000:Customs fee pending. Pay now to release your parcel: http://10.8.4.22/verify/5935,sms,1
SMSTO:+977-9874331966:The invoice has been received and marked paid.,sms,0
