sender,subject,message,content,label
noreply@github.com,Meeting notes,Class starts tomorrow. Please bring your notebook.,From: noreply@github.com Subject: Meeting notes Class starts tomorrow. Please bring your notebook. Link: https://github.com/receipt/3524,0
support@nepalbank.com.np,Project status summary,Your appointment is confirmed for Friday at 10:00 AM.,From: support@nepalbank.com.np Subject: Project status summary Your appointment is confirmed for Friday at 10:00 AM. Link: https://nepalbank.com.np/profile/3996,0
reward@khalti-refund.test,Urgent account verification required,URGENT: your bank account is blocked. Verify login now,From: reward@khalti-refund.test Subject: Urgent account verification required URGENT: your bank account is blocked. Verify login now. Click http://khalti-refund.test/verify/4972 and submit password OTP PIN card details.,1
reward@wallet-kyc-alert.test,Urgent account verification required,KYC expired. Confirm wallet PIN and OTP to continue,From: reward@wallet-kyc-alert.test Subject: Urgent account verification required KYC expired. Confirm wallet PIN and OTP to continue. Click http://wallet-kyc-alert.test/claim/4738 and submit password OTP PIN card details.,1
support@wallet-kyc-alert.test,Your wallet is blocked,Security alert. Update password within 24 hours,From: support@wallet-kyc-alert.test Subject: Your wallet is blocked Security alert. Update password within 24 hours. Click http://wallet-kyc-alert.test/claim/4167 and submit password OTP PIN card details.,1
billing@company-intranet.example,Course update,Your appointment is confirmed for Friday at 10:00 AM.,From: billing@company-intranet.example Subject: Course update Your appointment is confirmed for Friday at 10:00 AM. Link: https://company-intranet.example/help/3650,0
verify@10.8.4.22,Unusual login detected,KYC expired. Confirm wallet PIN and OTP to continue,From: verify@10.8.4.22 Subject: Unusual login detected KYC expired. Confirm wallet PIN and OTP to continue. Click http://10.8.4.22/login/4878 and submit password OTP PIN card details.,1
support@nrb.org.np,Project status summary,Your delivery is scheduled for tomorrow afternoon.,From: support@nrb.org.np Subject: Project status summary Your delivery is scheduled for tomorrow afternoon. Link: https://nrb.org.np/receipt/3533,0
verify@google-login.example.net,Prize claim pending,URGENT: your bank account is blocked. Verify login now,From: verify@google-login.example.net Subject: Prize claim pending URGENT: your bank account is blocked. Verify login now. Click http://google-login.example.net/claim/4278 and submit password OTP PIN card details.,1
verify@np-prize-claim.test,Your wallet is blocked,Customs fee pending. Pay now to release your parcel,From: verify@np-prize-claim.test Subject: Your wallet is blocked Customs fee pending. Pay now to release your parcel. Click http://np-prize-claim.test/verify/4885 and submit password OTP PIN card details.,1
support@nepalbank.com.np,Monthly statement is available,Class starts tomorrow. Please bring your notebook.,From: support@nepalbank.com.np Subject: Monthly statement is available Class starts tomorrow. Please bring your notebook. Link: https://nepalbank.com.np/profile/3757,0
billing@nepalbank.com.np,Password changed successfully,Thank you for your payment. No further action is required.,From: billing@nepalbank.com.np Subject: Password changed successfully Thank you for your payment. No further action is required. Link: https://nepalbank.com.np/receipt/3442,0
